 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
30,Mutono,Anita,Traore et al,Elimination of transmission,2012,Proof-of-principle of Onchocerciasis Elimination with Ivermectin Treatment in Endemic Foci in Africa: Final Results of a study in Mali and Senegal,PLOS Neglected Tropical Diseases,6(9),,Senegal,APOC,,River Gambia,2009-2011,>1 year,1540,,"Simulium sirbanum, Simulium damnosum s.s",,12.0-48.1mf/s,,,,No,No,,Yes,1988,,17,,Bi-annual,,,89%-100%,1992,,,Elimination,Transmission of onchocerciasis has been interrupted;Elimination of onchocerciasis as a public health problem,mf prevalence of <1% in 90% of samples and prevalence of <5% in 100% of sample villages,,,0% (95% CI 0%-0.24%),No. of mf positive individuals/population tested,0/1540,,two skin snips in the iliac crest using 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,,,Yes,Yes,0 (UCL 0.03%),73200,"Transmission is limited to the rainy season, PTS",,MDA ended in 2007. no evidence of recurdescence of infection 5 years after ivermectin was stopped,Yes-PTS,,,,19
30,Mutono,Anita,Traore et al,Elimination of transmission,2012,Proof-of-principle of Onchocerciasis Elimination with Ivermectin Treatment in Endemic Foci in Africa: Final Results of a study in Mali and Senegal,PLOS Neglected Tropical Diseases,6(9),,"Mali,Senegal",APOC,,River Faleme,2009-2011,>1 year,4305,,"Simulium sirbanum, Simulium damnosum s.s",,13.3-21.0mf/s,,,,No,No,,,1989,,16,,Yearly,,,89%-100%,1992,,,Elimination,Transmission of onchocerciasis has been interrupted,mf prevalence of <1% in 90% of samples and prevalence of <5% in 100% of sample villages,,,0.07% (95% CI 0.01% -0.2%),No. of mf positive individuals/population tested,Mar-05,,two skin snips in the iliac crest using 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,,,Yes,Yes,0.02 (UCL (0.07%),107100,"Transmission is limited to the rainy season, PTS",,no evidence of recurdescence of infection,Yes-PTS,,,,19
31,Mutono,Anita,Katabarwa et al,Elimination of transmission,2020,The Galabat-Matema cross-border onchocerciasis focus: The first coordinated interruption of onchocerciasis transmission in Africa,PLOS Neglected Tropical Diseases,14(2),,Sudan,APOC,,Galabat focus,2014-2017,5 years to <10 years; adults 20 years and above who have lived in that community for at least 10 years,3931;9148 flies,,Simulium damnosum s.l,63%,,,0%-18%,,Yes,No,,Yes,2007,,10,,Yearly,Frequency changed to bi-annually in 2011-2014,,92%,2007,,,Elimination,Transmission of onchocerciasis has been interrupted,Ov16 antibody prevalence in children 5 - <10 years (ELISA and skin snip PCR on Ov16 positive children) and testing for L3 in vector black flies,,,,,,,,,0-0.049%,blood drops collected,For the dry blood samples and fly samples,Yes,0 (UCL 0.02%),9148,"MDA halted in 2017, skin snips of children who were positive for OV-16 were tested with 0-150 PCR",,A cross-border transmission zone,Yes,,,3,10
31,Mutono,Anita,Katabarwa et al,Elimination of transmission,2020,The Galabat-Matema cross-border onchocerciasis focus: The first coordinated interruption of onchocerciasis transmission in Africa,PLOS Neglected Tropical Diseases,14(2),,Ethiopia,APOC,,Matema focus,2014-2017,"5 years to <10 years; adults 20 years and above, who have lived in that community for at least 10 years","6072;27,538 flies",,Simulium damnosum s.l,,,,14%-44%,,Yes,No,,Yes,2003,,14,,Yearly,Frequency changed to bi-annually in 2016,,91%,2003,,,Elimination,Transmission of onchocerciasis has been interrupted,Ov16 antibody prevalence in children 5 - <10 years (ELISA and skin snip PCR on Ov16 positive children) and testing for L3 in vector black flies,,,,,,,,,0-0.032%,blood drops collected,For the dry blood samples and fly samples,Yes,0.01 (UCL 0.02%),27583,"MDA halted in 2017, skin snips of children who were positive for OV-16 were tested with 0-150 PCR and all were negative",,A cross-border transmission zone,Yes,,,1,14
32,Njoki,Anita,Higazi et al,Elimination of transmission,2013,"Interruption of onchocerca volvulus transmission in the abu hamed focus, sudan",Am J Trop Med Hyg,89:01:00,51-57,Sudan,APOC,NR,Abu Hamed focus,2011,children: </= 10 years & adults: >20 years& lived in the area for at least 10 years,6756 children & 536 adults & 17537 flies,desert,Simulium damnosum s.l,29%,NR,NR,12.00%,NR,Yes,No,,No,1998,NA,13,NA,biannual,Frequency changed to bi-annually in 2006,,90%,2009,NR,NR,Elimination,transmission interuption ,Ov16 antibody prevalence in children 5-9years (ELISA and skin snip PCR on Ov16 positive children),,,,,,,two skin snips taken from both hips using a corneoscleral biopsy punch & incubated in sterile normal saline for 2 hours & 24 hours,microscope,0% (UCL-0.03%),blood drops collected using Whatman No.2 filter paper,Yes,Yes,0 (UCL 0.02%),17359,ATP=0% (UCL 1.99),,MDA halted in 2012,Yes,0,,5,2
33,Mutono,Anita,Herrador et al,Elimination of transmission,2018,Interruption of onchocerciasis transmission in Bioko Island: Accelerating the movement from control to elimination in Equatorial Guinea,PLoS Negl Trop Dis,12:05,,Equatorial Guinea,OCP,,Bioko Island,2016-2017,5-9 years who have lived in the study area for at least 3 years,7052,forest ,Simulium yahense,28.30%,,,,,Yes,Yes (OCP),Ground larviciding,Yes,1990,2001,26,5,Yearly,,,,,,,-,transmission interruption achieved,,,,,,,,"two skin skips in the posterior iliac crest, using Walser matrix forceps",microscope,"0.06% (UCL 0.11%), 0% for PCR",blood drops collected using Whatman filter paper,,,,,"S.yahense eliminated in 2005, skin snips for positive Ov-16 RDT were negative for PCR",,Blood samples collected through finger pricks. Large-scale larviciding was done from 2001-2005.  MDA ended in 2016. ,Yes,,,,
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Bafang,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,"63.9% in adults, 12.7% in children",,112.5,60.2% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,16.4% in adults,341/2828,"5.2% in adults, 0.6% in children",No. of mf positive individuals/population tested,34/714,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,No-using microscope to check for L3 in head,Yes,0.00%,5261,ATP is 0; ABR is 52610;,,Cross border transmission ongoing,,0,52610,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Baham,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,53.1% in adults,,112.5,51.7% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,7.9% in adults,341/2828,"11.1% in adults, 6.9% in children",No. of mf positive individuals/population tested,21/189,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Bandja,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,72.1% in adults,,112.5,61.5% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,13% in adults,341/2828,"21.4% in adults, 15.8% in children",No. of mf positive individuals/population tested,18/84,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Bangangte,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,76.7% in adults,,112.5,80.3% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,11.9% in adults,341/2828,"14% in adults, 4.3% in children",No. of mf positive individuals/population tested,54/319,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Foumbot,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,"87.8% in adults, 65% in children",,112.5,89.7% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,18% in adults,341/2828,"27.3% in adults, 29.3% in children",No. of mf positive individuals/population tested,89/317,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,No-using microscope to check for L3 in head,Yes,0.19%,2856,ATP is 70; ABR is 28560;,,Cross border transmission ongoing,,70,28560,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Kekem,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,69.2% in adults,,112.5,70.8% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,16.6% in adults,341/2828,"4.9% in adults, 0% in children",No. of mf positive individuals/population tested,8/163,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Penka-Michel,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,56.1% in adults,,112.5,40% in adults,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,7.7% in adults,341/2828,"3.6% in adults, 1.4% in children",No. of mf positive individuals/population tested,7/195,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Close to elimination,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Foumban,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,,,112.5,,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,1.5% in adults,341/2828,"0.0% in adults, 0% in children",No. of mf positive individuals/population tested,0/265,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Kouoptamo,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,,,112.5,,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,3.6% in adults,341/2828,"3.0% in adults, 4.2% in children",No. of mf positive individuals/population tested,5/168,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Malantouen,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,,,112.5,,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,5.3% in adults,341/2828,7.6% in adults,No. of mf positive individuals/population tested,13/170,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,,,,,,,,,,,,8
34,Mutono,Anita,Katabarwa et al,Ongoing transmission,2013,Fifteen years of annual mass treatment of onchocerciasis with ivermectin have not interrupted transmission in the west region of Cameroon,J Parasitol Res,2013,,Cameroon,APOC,,Massangam,2011,Community,"2703 children, 2828 adults",forest-savanna,Simulium squamosum,,,112.5,,867.5,Yes,No,,No,1996,,14,,Yearly,,,88%,2003,,,,,,43.4% in adults,341/2828,"59.6% in adults, 65.6% in children",No. of mf positive individuals/population tested,59/99,,"two skin skips in the posterior iliac crest and buttock, using a corneoscleral punch. Incubated for 12-24 hours in normal saline solution in room temperature",microscope,,,No-using microscope to check for L3 in head,Yes,0.18%,12138,ATP is 310; ABR is 125380,,Cross border transmission ongoing,,310,125380,,8
35,Mutono,Anita,Wilson et al,Close to elimination,2016,Evaluation of Lymphatic Filariasis and Onchocerciasis in Three Senegalese Districts Treated for Onchocerciasis with Ivermectin,PLoS Negl Trop Dis,10:12,,Senegal,OCP,National Onchocerciasis Control Program,River Gambia focus,2014,<=5 years,530,,Simulium damnosum,,,,,,Yes,No,,No,1988,,18,,Bi-annually,Frequency changed to bi-annually in 1990,,45-90%,,,,,,,0%,,0.20%,No. of mf positive individuals/population tested,1/530,,two skin snips from iliac crest using 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,2.5% (7/279),blood drops collected using filter paper,,,,,,Lymphatic filariasis,May be showing recrudescence,,,,24,
35,Mutono,Anita,Wilson et al,Close to elimination,2016,Evaluation of Lymphatic Filariasis and Onchocerciasis in Three Senegalese Districts Treated for Onchocerciasis with Ivermectin,PLoS Negl Trop Dis,10:12,,Senegal,OCP,National Onchocerciasis Control Program,River Kaolakabe focus,2014,<=5 years,329,,Simulium damnosum,,,,,,Yes,No,,No,1988,,14,,Yearly,,,41-92%,,,,,,,0%,,0%,No. of mf positive individuals/population tested,0/329,,two skin snips ufrom iliac crest sing 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,2.5% (7/279),blood drops collected using filter paper,,,,,,Lymphatic filariasis,May be showing recrudescence,,,,,
35,Mutono,Anita,Wilson et al,Close to elimination,2016,Evaluation of Lymphatic Filariasis and Onchocerciasis in Three Senegalese Districts Treated for Onchocerciasis with Ivermectin,PLoS Negl Trop Dis,10:12,,Senegal,OCP,National Onchocerciasis Control Program,River Faleme focus,2014,<=5 years,133,,Simulium damnosum,,,,,,Yes,No,,No,1989,,19,,Yearly,,,61-100%,,,,,,,0%,,0%,No. of mf positive individuals/population tested,0/133,,two skin snips from iliac crest using 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,2.5% (7/279),blood drops collected using filter paper,,,,,,Lymphatic filariasis,May be showing recrudescence,,,,,
